,_id,FHRSID,ChangesByServerID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,Phone,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,SchemeType,RightToReply,Distance,NewRatingPending,links,scores.Hygiene,scores.Structural,scores.ConfidenceInManagement,geocode.longitude,geocode.latitude,meta.dataSource,meta.extractDate,meta.itemCount,meta.returncode,meta.totalCount,meta.totalPages,meta.pageSize,meta.pageNumber
0,65f5e9e9a4fa09a7210a568d,621707,0,PI/000025307,Charlie's,Other catering premises,7841,Oak Apple Farm Building 103 Sheernes Docks,Sheppy Kent,,,ME12,,4,fhrs_4_en-gb,2021-10-18T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4627.439467780196,False,"[{'rel': 'self', 'href': 'https://api.ratings.food.gov.uk/establishments/621707'}]",5,10,5,0.508551,51.369321,,0001-01-01T00:00:00,0,,0,0,0,0
1,65f5e9e9a4fa09a7210a59b0,1130836,0,PI/000034075,Mv City Cruises Erasmus,Other catering premises,7841,Cherry Garden Pier,Cherry Garden Street Rotherhithe,Charlton,,TN4 8HR,,5,fhrs_5_en-gb,2021-05-14T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4627.8731788858,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1130836'}]",0,5,0,0.249255999922752,51.1236228942871,,0001-01-01T00:00:00,0,,0,0,0,0
2,65f5e9e9a4fa09a7210a64ff,293783,0,PI/000002614,Benfleet Motor Yacht Club,Other catering premises,7841,Ferry Road,South Benfleet Essex,,,SS7 1NF,,4,fhrs_4_en-gb,2018-11-02T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4631.968418191259,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/293783'}]",0,0,10,0.561954,51.543831,,0001-01-01T00:00:00,0,,0,0,0,0
3,65f5e9e9a4fa09a7210a72fd,1315095,0,PI/000036464,Coombs Catering t/a The Lock and Key,Restaurant/Cafe/Canteen,1,Leslie Ford House,Tilbury,Charlton,,RM18 7EH,,5,fhrs_5_en-gb,2020-12-04T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4636.846754121153,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1315095'}]",0,5,0,0.346336990594864,51.4640655517578,,0001-01-01T00:00:00,0,,0,0,0,0
4,65f5e9e9a4fa09a7210a72ff,294474,0,PI/000014647,Tilbury Seafarers Centre,Restaurant/Cafe/Canteen,1,Tenants Row Tilbury Docks,Tilbury Essex,,,RM18 7EH,,5,fhrs_5_en-gb,2018-11-02T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4636.847649796817,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/294474'}]",0,0,0,0.346325,51.464078,,0001-01-01T00:00:00,0,,0,0,0,0
5,65f5e9e9a4fa09a7210a7a07,294900,0,PI/000019066,Mv Valulla,Other catering premises,7841,Reeds River Cruises LtdKings ReachRiver ThamesSouthwark,London,,,RM15 5QY,,5,fhrs_5_en-gb,2016-08-23T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4640.460834256174,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/294900'}]",0,0,0,0.287555,51.504071,,0001-01-01T00:00:00,0,,0,0,0,0
6,65f5e9e9a4fa09a7210a9b15,293756,0,PI/000002538,Tereza Joanne,Other catering premises,7841,Funcraft UK Ltd King George V Dock Woolwich Manor Way,London,,,E16 2NJ,,5,fhrs_5_en-gb,2021-07-09T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4648.301822363946,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/293756'}]",0,5,5,0.069286,51.501121,,0001-01-01T00:00:00,0,,0,0,0,0
7,65f5e9e9a4fa09a7210a9ee0,878523,0,PI/000029844,Brick Lane Brews,Restaurant/Cafe/Canteen,1,Air side London City Airport,London,,,E16 2PX,,4,fhrs_4_en-gb,2019-01-18T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4649.1734848484375,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/878523'}]",10,5,5,0.048006,51.503733,,0001-01-01T00:00:00,0,,0,0,0,0
8,65f5e9e9a4fa09a7210a9ef6,294606,0,PI/000016185,WH Smith,Retailers - other,4613,London City Airport,Silvertown London,,,E16 2PX,,5,fhrs_5_en-gb,2017-07-17T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4649.188850403149,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/294606'}]",0,0,0,0.0479655750095844,51.5041122436523,,0001-01-01T00:00:00,0,,0,0,0,0
9,65f5e9e9a4fa09a7210a9ef8,293772,0,PI/000002585,The Nuance Group (UK) Limited,Retailers - other,4613,Duty Free Shop Passenger Terminal,London City AirportRoyal DocksLondon,,,E16 2PX,,5,fhrs_5_en-gb,2017-07-17T00:00:00,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,FHRS,,4649.188825980348,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/293772'}]",0,0,0,0.047966,51.504112,,0001-01-01T00:00:00,0,,0,0,0,0
